,time,rad_flow,fpv_close,fpv_open,high,bypass,bpv_close,bpv_open,class
0,0,81,0,-6,11,25,88,64,4
1,0,96,0,52,-4,40,44,4,4
2,-1,89,-7,50,0,39,40,2,1
3,9,79,0,42,-2,25,37,12,4
4,2,82,0,54,-6,26,28,2,1
5,0,84,3,38,-4,43,45,2,1
6,0,100,0,36,-8,63,64,2,1
7,0,83,0,46,0,37,36,0,1
8,0,79,0,42,-17,35,37,2,1
9,-1,78,0,44,0,34,34,0,1
10,0,81,0,54,-10,25,26,2,1
11,0,95,0,52,-3,40,44,4,4
12,0,100,0,34,6,64,67,4,1
13,-3,86,2,44,14,43,42,0,1
14,-5,84,0,46,0,38,37,0,1
15,0,81,0,44,0,36,37,0,1
16,0,86,0,50,30,38,37,0,1
17,0,78,0,42,-2,22,37,14,4
18,0,77,0,18,-18,22,59,38,4
19,5,90,0,44,0,44,46,2,1
20,0,77,0,-20,27,41,98,58,1
21,0,90,-6,18,0,53,72,20,1
22,-8,77,0,20,0,40,57,16,1
23,5,95,-3,50,0,45,46,2,1
24,-2,76,0,44,15,32,32,0,1
25,-1,85,-5,42,0,44,44,0,1
26,0,97,0,46,-2,42,51,8,4
27,0,76,0,26,20,39,50,12,1
28,0,76,8,30,0,40,45,6,1
29,0,106,0,46,9,61,60,0,1
30,0,81,0,38,17,44,43,0,1
31,4,83,0,46,0,34,37,2,1
32,0,88,1,50,0,38,39,0,1
33,2,77,0,42,0,36,36,0,1
34,0,78,0,50,11,29,29,0,1
35,0,95,0,44,-12,40,51,12,4
36,0,77,0,34,-12,40,43,2,1
37,3,81,0,36,0,44,44,0,1
38,0,84,0,26,-3,47,58,10,1
39,0,86,0,54,0,33,32,0,1
40,0,81,-3,44,17,37,37,0,1
41,0,81,7,46,3,35,34,0,1
42,-4,83,0,44,-14,37,39,2,1
43,0,84,0,-36,-196,4,120,116,5
44,0,84,0,-20,26,3,105,102,5
45,-5,87,2,54,0,32,33,0,1
46,0,89,-3,44,0,44,45,0,1
47,0,86,0,52,22,35,34,0,1
48,0,84,-1,-28,-24,4,112,108,5
49,0,87,-6,52,-7,34,35,2,1
50,0,86,0,56,2,30,30,0,1
51,0,87,0,50,1,38,38,0,1
52,0,97,5,46,-19,41,50,8,4
53,0,96,0,56,10,40,39,0,1
54,0,95,0,18,-24,57,77,20,1
55,0,86,-4,46,0,39,40,2,1
56,3,109,0,72,7,1,36,36,5
57,5,93,0,38,0,53,55,2,1
58,0,88,7,2,0,3,86,82,5
59,0,78,1,26,0,23,52,30,4
60,3,77,0,-24,0,21,103,82,4
61,0,85,0,56,15,29,28,0,1
62,0,84,0,-20,-17,4,105,102,5
63,0,88,0,52,-4,35,37,2,1
64,0,78,0,-6,-5,42,86,44,1
65,5,80,0,42,7,39,39,0,1
66,2,108,0,44,0,63,64,2,1
67,2,89,0,46,0,41,42,2,1
68,0,95,0,50,-26,39,46,6,4
69,0,77,0,8,-18,22,70,48,4
70,0,85,0,46,-5,36,39,2,1
71,0,76,2,42,-29,32,34,2,1
72,0,95,4,50,0,46,46,0,1
73,0,88,0,52,8,36,36,0,1
74,0,97,0,44,6,41,53,12,4
75,3,95,0,46,-9,47,49,2,1
76,0,84,6,38,0,44,45,2,1
77,0,86,-2,60,18,27,26,0,1
78,0,108,15,26,-1,71,82,12,1
79,0,104,0,28,1,66,75,8,1
80,1,83,0,54,0,28,29,0,1
81,0,97,0,42,-9,53,55,2,1
82,-1,83,0,44,0,38,39,0,1
83,0,76,-7,20,-6,39,55,16,1
84,0,81,0,36,-30,43,45,2,1
85,0,77,0,30,-9,40,46,6,1
86,0,102,0,36,0,64,66,2,1
87,5,78,-1,52,0,26,26,0,1
88,0,88,0,42,-11,45,47,2,1
89,0,86,1,42,0,45,45,0,1
90,0,79,0,52,-26,26,27,2,1
91,0,74,-7,28,0,37,46,8,1
92,0,96,2,46,0,41,50,8,4
93,0,79,0,56,0,21,22,0,1
94,-1,84,-3,42,-1,43,43,0,1
95,0,97,3,50,-8,41,48,6,4
96,0,79,0,20,1,42,58,16,1
97,0,88,0,42,24,48,47,0,1
98,0,82,6,44,0,38,38,0,1
99,0,77,8,36,6,40,41,0,1
100,0,78,0,2,25,41,75,34,1
101,4,80,0,42,-14,36,39,2,1
102,1,86,0,42,26,46,45,0,1
103,2,85,-2,38,0,46,46,0,1
104,0,76,6,34,26,39,43,4,1
105,0,96,-1,38,-1,41,57,16,4
106,0,77,0,-20,6,41,98,58,1
107,-2,111,0,50,0,61,62,0,1
108,0,78,0,42,31,37,37,0,1
109,0,93,0,42,-20,37,51,14,4
110,3,76,0,42,-2,33,35,2,1
111,0,76,1,26,-6,39,50,10,1
112,0,76,0,-18,-25,20,94,74,4
113,-3,90,0,42,0,47,48,2,1
114,0,95,5,46,-10,46,48,2,1
115,-5,86,-1,46,-2,40,40,0,1
116,2,85,4,46,0,38,39,0,1
117,2,77,0,42,8,36,36,0,1
118,1,80,2,44,0,35,36,0,1
119,0,86,1,44,0,40,42,2,1
120,-1,89,-1,46,-4,41,42,2,1
